SampleID,Meter,Age12,Age20,Sr,CI,O,sd,sd_sq,n,temp,
72-SB-13,0,468.80,470.3,0.708800893,0.2,17.7,0.20,0.04,3,31.01,
72-SB-139,38,467.78,469.7,0.708741891,0.3,17.5,0.26,0.07,3,31.68,
72-SB-239,69,467.42,469.5,0.708777892,0.1,17.9,0.13,0.02,3,30.01,
72-SC-120,144,466.85,469.2,0.70872089,0.1,17.5,0.12,0.02,3,31.74,
72-SC-390,226,465.80,468.0,0.708692889,0.1,17.5,0.08,0.01,3,31.80,
72-SC-500,259,464.92,466.8,0.70872289,0.1,17.2,0.05,0.00,3,32.98,
72-SC-630,299,463.87,465.3,0.708739891,0.0,17.4,0.03,0.00,3,32.10,
83 JD-20,320,463.38,464.0,0.70869989,0.2,17.4,0.15,0.02,3,32.30,
83 JD-21,321,463.36,463.9,0.70870789,0.0,17.2,0.03,0.00,3,32.99,
83 JD-26,326,463.24,463.6,0.708701797,0.1,17.0,0.07,0.00,3,34.18,
83JD-42,342,462.87,462.5,0.708658888,0.1,17.4,0.10,0.01,3,32.30,
83JD-80,380,462.22,460.8,0.708665786,0.2,17.4,0.21,0.04,3,32.34,
83JD-104,404,461.99,460.4,0.708617887,0.1,17.3,0.09,0.01,3,32.52,
83JD-115,415,461.88,460.2,0.708612769,0.3,17.7,0.23,0.05,3,31.07,
83JD-125,425,461.78,460.0,0.708611723,0.1,17.8,0.12,0.01,3,30.55,
83JD-191,491,460.21,458.4,0.708533425,0.1,17.8,0.09,0.01,3,30.71,
83JD-211,511,458.93,457.7,0.708522081,0.1,18.3,0.10,0.01,3,28.42,
83JE-13,524,458.10,457.2,0.708458971,0.0,18.1,0.04,0.00,3,29.18,
83JE-21.8,533,457.54,456.8,0.708347308,0.0,17.8,0.03,0.00,3,30.56,
83JE-23,534,457.46,456.8,0.708348205,0.1,17.8,0.08,0.01,3,30.67,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
