sample,age,sr
83JD-67A_U,461.0,0.708661
83JD-67B_U,461.0,0.708663
83JD-80A_U,460.8,0.708645
83JD-80_L,460.8,0.708641
83JD-88A_U,460.6,0.708654
83JD-88B_U,460.6,0.708649
83JD-88_L,460.6,0.708630
83JD-115A_U,460.2,0.708614
83JD-115B_U,460.2,0.708607
83JD-115_L,460.2,0.708617
83JD-125A_U,460.0,0.708614
83JD-125B_U,460.0,0.708609
83JD-130A_U,459.9,0.708618
83JD-130B_U,459.9,0.708608
83JD-130_L,459.9,0.708618
83JD-166_U,459.2,0.708586
83-JD-184_U,458.7,0.708522
83-JD-184_L,458.7,0.708512
83JD-191_U,458.4,0.708527
83JD-191_L,458.4,0.708510
83JD-211_U,457.7,0.708535
83JD-211_L,457.7,0.708523
83JE-0_U,457.7,0.708482
83JE-0.8_U,457.6,0.708475
83JE-5.6_U,457.4,0.708484
83JE-13_U,457.2,0.708461
83JE-13_L,457.2,0.708457
83JE-18.5_U,456.9,0.708373
83JE-18.5_L,456.9,0.708355
83JE-21.8_U,456.8,0.708347
83JE-23_U,456.8,0.708349
83JE-23_L,456.8,0.708348
83JE-28_U,456.6,0.708337
