Sample ID,Sr,Age12,Age20
I-35,0.709016,484.28,485.43
I-35,0.709011,484.28,485.43
I-35,0.70901,484.28,485.43
I-35,0.709059,482.2,482.79
SP300,0.709024,480.22,480.28
I-35,0.70899,480.2,480.25
SP573,0.709113,480.11,480.14
Chapman Ranch,0.70893,479.96,479.95
Chapman Ranch,0.708945,479.96,479.95
Chapman Ranch,0.708987,479.96,479.95
Chapman Ranch,0.708943,479.96,479.95
Chapman Ranch,0.708926,479.94,479.92
SP991,0.709036,479.94,479.92
SP1042,0.709036,479.72,479.64
SP1200,0.709017,479.02,478.75
SP1277,0.708984,478.68,478.32
Chapman Ranch,0.708914,478.5,478.1
Chapman Ranch,0.708897,478.5,478.1
Chapman Ranch,0.708897,478.5,478.1
Chapman Ranch,0.708881,478.5,478.1
SP1402,0.708922,478.13,477.63
SP1540,0.708949,477.52,476.94
Chapman Ranch,0.708905,476,475.8
Chapman Ranch,0.708922,476,475.8
Chapman Ranch,0.70886,476,475.8
SP1760,0.708985,475.01,475.05
SP1820,0.708872,474.33,474.53
Sycamore Creek,0.708793,474,474.28
Sycamore Creek,0.708834,474,474.28
SP1980,0.708828,473.12,473.62
Chapman Ranch,0.708789,470.75,471.83
SP2404,0.708836,470.52,471.65
Sycamore Creek,0.708771,470.42,471.58
I70-9,0.708776,470.06,471.31
I70-20,0.708706,469.62,471
I70-20b,0.708739,469.62,471
I70-30.2,0.708773,469.22,470.73
I70-30.2b,0.708719,469.22,470.73
SP2653,0.708821,468.9,470.51
72SB-13,0.7088,468.75,470.41
404,0.70877,468.75,470.41
404,0.708754,468.75,470.41
Chapman Ranch,0.708843,468.75,470.41
Chapman Ranch,0.708748,468.75,470.41
CS-50,0.708796,468.43,470.19
72SB-139,0.708741,468,469.9
Hwy-77,0.708732,468,469.9
Sycamore Creek,0.70873,468,469.9
SP2848,0.708863,467.73,469.71
72SB-239,0.708777,467.5,469.56
Hwy-77,0.708733,467,469.04
CS-90,0.70879,466.85,468.85
72SB-365,0.708812,466.73,468.7
Hwy-77,0.708728,466.65,468.6
388,0.708686,466.38,468.26
388,0.708727,466.38,468.26
388,0.708713,466.38,468.26
72SC-120,0.70872,466.3,468.16
72SC-220,0.708721,465.9,467.65
SP-212,0.708838,465.63,467.31
SP-237,0.708788,465.25,466.83
CS-122,0.708769,465.14,466.69
72SC-390,0.708692,465.1,466.64
SP-248.5,0.70881,465.08,466.62
CS-130,0.708742,464.59,466
72SC-500,0.708722,464.51,465.9
5-15-78Q,0.708745,464.5,465.88
SP-290,0.70877,464.46,465.83
72SC-630,0.708739,464.13,465.42
5-15-78P,0.708772,464,465.25
MP-18,0.708778,464,465.25
I70-140,0.708756,463.91,465.14
5-8-78-O,0.708748,463.77,464.96
83JD-20,0.708699,463.77,464.96
5-25-82A,0.708723,463.77,464.96
83JD-21,0.708707,463.68,464.85
I70-146,0.708663,463.59,464.73
SP-366,0.708737,463.32,464.39
83JD-26,0.708684,463.24,464.29
5-8-78-I,0.708799,463.1,464.12
5-25-82J,0.708688,463.1,464.12
I70-152,0.708646,463.06,464.07
5-8-78-H,0.708809,463,463.99
5-25-82N,0.708671,462.81,463.75
83JD-33,0.708648,462.62,463.51
5-25-82R,0.70868,462.5,463.36
5-7-78Q,0.708719,462.35,463.17
MH64B7-6,0.70882,462.35,463.17
83JD-42,0.708658,462.3,463.11
5-25-82U,0.708649,462.29,463.09
I70-166,0.708709,462.29,463.09
5-25-82AB,0.708568,462.08,462.83
83JD-80,0.708686,461.94,462.65
I70-220,0.70858,461.74,462.4
83JD-104,0.708617,461.72,462.37
83JD-110,0.708632,461.66,462.3
68B5-5,0.708647,461.6,462.22
83JD-120,0.708616,461.57,462.18
I70-240,0.708522,461.54,462.15
MH70B29-2,0.708644,461.5,462.1
363,0.70857,461.5,462.1
I70-250,0.708495,461.44,462.02
I70-260,0.70846,461.33,461.88
I70-270,0.7085,461.23,461.75
8-8-75B,0.708431,461.23,461.75
5-7-78-M,0.708558,461.23,461.75
5-25-82AI,0.708469,461.05,461.53
5-25-82AK,0.708475,460.76,461.16
83JD-166,0.708508,460.72,461.11
I70-280,0.708438,460.7,461.08
69B2-5,0.708541,460.4,460.71
I70-290,0.708402,460.17,460.42
83JD-184,0.708446,459.8,459.95
I70-300,0.708424,459.63,459.73
I70-300b,0.70845,459.63,459.73
5-26-82A,0.708364,459.63,459.73
83JD-191,0.708562,459.44,459.49
I70-310,0.708345,459.1,459.06
ERMBent,0.708362,458.76,458.63
I70-320,0.708346,458.57,458.39
83JD-211,0.708507,458.41,458.19
83JE-0.8,0.708503,458.37,458.15
83JE-5.6,0.708495,458.12,457.9
I70-330,0.70829,458.03,457.81
5-26-82M,0.708287,457.93,457.71
I70-332,0.708339,457.93,457.71
83JE-18.5,0.708376,457.46,457.23
25,0.708324,456.72,456.49
25,0.708266,456.72,456.49
25,0.708308,456.72,456.49
83JE-33,0.708284,456.72,456.49
30,0.708229,456.62,456.39
30,0.708287,456.62,456.39
30,0.708192,456.62,456.39
30,0.708213,456.62,456.39
8-8-75F,0.708265,456.26,456.03
8-8-75Fb,0.708205,456.26,456.03
5-7-78-L,0.708422,456.26,456.03
54,0.708197,455.95,455.72
54,0.708215,455.95,455.72
54,0.708175,455.95,455.72
54,0.708204,455.95,455.72
66,0.708262,455.9,455.67
66,0.708211,455.9,455.67
66,0.708182,455.9,455.67
82,0.708114,455.7,455.46
82,0.708118,455.7,455.46
73,0.708171,455.7,455.46
73,0.708175,455.7,455.46
91,0.708135,455.6,455.36
91,0.708143,455.6,455.36
91,0.70814,455.6,455.36
83JE-66,0.708146,455.4,455.16
83JE-81,0.708172,454.8,454.56
5-26-82AS,0.708047,454.8,454.56
150,0.708079,454.8,454.56
150,0.708094,454.8,454.56
8-8-75I,0.707994,453.81,453.56
167,0.708026,453.81,453.56
8,0.708075,453.81,453.56
8,0.708075,453.81,453.56
16,0.707984,453.6,453.35
173,0.708011,453.5,453.25
I70-435.4,0.708117,453.35,453.1
5-15-78J,0.707973,453.29,453.04
186,0.708004,452.97,452.72
26,0.707971,452.97,452.72
198,0.707974,452.8,452.56
214,0.707937,452.5,452.27
214,0.707959,452.5,452.27
232,0.707973,452.27,452.04
99,0.707934,452.27,452.04
107,0.707969,451.5,451.3
266,0.707961,451,450.82
284,0.707949,450.15,449.99
115,0.707924,450.15,449.99
319,0.707972,450,449.85
319,0.707955,450,449.85
142,0.707904,450,449.85
146,0.707892,449.95,449.8
160,0.707943,449.92,449.77
335,0.707895,449.86,449.71
335,0.707925,449.86,449.71
177,0.707886,449.86,449.71
363,0.707856,449.5,449.37
363,0.707921,449.5,449.37
363,0.707958,449.5,449.37
197,0.707941,449.5,449.37
206,0.707904,449.25,449.12
210,0.707895,449.12,449
218,0.707887,448.8,448.69
236,0.707891,448.4,448.3
268,0.707951,447.14,447.09
276,0.707896,446.2,446.18
285,0.707926,445.53,445.53
285,0.707939,445.53,445.53
