age,ratio
484,0.7037
483.999,0.7037
483.998,0.7037
483.997,0.7037
483.996,0.7037
483.995,0.7037
483.994,0.7037
483.993,0.7037
483.992,0.7037
483.991,0.7037
483.99,0.7037
483.989,0.7037
483.988,0.7037
483.987,0.7037
483.986,0.7037
483.985,0.7037
483.984,0.7037
483.983,0.7037
483.982,0.7037
483.981,0.7037
483.98,0.7037
483.979,0.7037
483.978,0.7037
483.977,0.7037
483.976,0.7037
483.975,0.7037
483.974,0.7037
483.973,0.7037
483.972,0.7037
483.971,0.7037
483.97,0.7037
483.969,0.7037
483.968,0.7037
483.967,0.7037
483.966,0.7037
483.965,0.7037
483.964,0.7037
483.963,0.7037
483.962,0.7037
483.961,0.7037
483.96,0.7037
483.959,0.7037
483.958,0.7037
483.957,0.7037
483.956,0.7037
483.955,0.7037
483.954,0.7037
483.953,0.7037
483.952,0.7037
483.951,0.7037
483.95,0.7037
483.949,0.7037
483.948,0.7037
483.947,0.7037
483.946,0.7037
483.945,0.7037
483.944,0.7037
483.943,0.7037
483.942,0.7037
483.941,0.7037
483.94,0.7037
483.939,0.7037
483.938,0.7037
483.937,0.7037
483.936,0.7037
483.935,0.7037
483.934,0.7037
483.933,0.7037
483.932,0.7037
483.931,0.7037
483.93,0.7037
483.929,0.7037
483.928,0.7037
483.927,0.7037
483.926,0.7037
483.925,0.7037
483.924,0.7037
483.923,0.7037
483.922,0.7037
483.921,0.7037
483.92,0.7037
483.919,0.7037
483.918,0.7037
483.917,0.7037
483.916,0.7037
483.915,0.7037
483.914,0.7037
483.913,0.7037
483.912,0.7037
483.911,0.7037
483.91,0.7037
483.909,0.7037
483.908,0.7037
483.907,0.7037
483.906,0.7037
483.905,0.7037
483.904,0.7037
483.903,0.7037
483.902,0.7037
483.901,0.7037
483.9,0.7037
483.899,0.7037
483.898,0.7037
483.897,0.7037
483.896,0.7037
483.895,0.7037
483.894,0.7037
483.893,0.7037
483.892,0.7037
483.891,0.7037
483.89,0.7037
483.889,0.7037
483.888,0.7037
483.887,0.7037
483.886,0.7037
483.885,0.7037
483.884,0.7037
483.883,0.7037
483.882,0.7037
483.881,0.7037
483.88,0.7037
483.879,0.7037
483.878,0.7037
483.877,0.7037
483.876,0.7037
483.875,0.7037
483.874,0.7037
483.873,0.7037
483.872,0.7037
483.871,0.7037
483.87,0.7037
483.869,0.7037
483.868,0.7037
483.867,0.7037
483.866,0.7037
483.865,0.7037
483.864,0.7037
483.863,0.7037
483.862,0.7037
483.861,0.7037
483.86,0.7037
483.859,0.7037
483.858,0.7037
483.857,0.7037
483.856,0.7037
483.855,0.7037
483.854,0.7037
483.853,0.7037
483.852,0.7037
483.851,0.7037
483.85,0.7037
483.849,0.7037
483.848,0.7037
483.847,0.7037
483.846,0.7037
483.845,0.7037
483.844,0.7037
483.843,0.7037
483.842,0.7037
483.841,0.7037
483.84,0.7037
483.839,0.7037
483.838,0.7037
483.837,0.7037
483.836,0.7037
483.835,0.7037
483.834,0.7037
483.833,0.7037
483.832,0.7037
483.831,0.7037
483.83,0.7037
483.829,0.7037
483.828,0.7037
483.827,0.7037
483.826,0.7037
483.825,0.7037
483.824,0.7037
483.823,0.7037
483.822,0.7037
483.821,0.7037
483.82,0.7037
483.819,0.7037
483.818,0.7037
483.817,0.7037
483.816,0.7037
483.815,0.7037
483.814,0.7037
483.813,0.7037
483.812,0.7037
483.811,0.7037
483.81,0.7037
483.809,0.7037
483.808,0.7037
483.807,0.7037
483.806,0.7037
483.805,0.7037
483.804,0.7037
483.803,0.7037
483.802,0.7037
483.801,0.7037
483.8,0.7037
483.799,0.7037
483.798,0.7037
483.797,0.7037
483.796,0.7037
483.795,0.7037
483.794,0.7037
483.793,0.7037
483.792,0.7037
483.791,0.7037
483.79,0.7037
483.789,0.7037
483.788,0.7037
483.787,0.7037
483.786,0.7037
483.785,0.7037
483.784,0.7037
483.783,0.7037
483.782,0.7037
483.781,0.7037
483.78,0.7037
483.779,0.7037
483.778,0.7037
483.777,0.7037
483.776,0.7037
483.775,0.7037
483.774,0.7037
483.773,0.7037
483.772,0.7037
483.771,0.7037
483.77,0.7037
483.769,0.7037
483.768,0.7037
483.767,0.7037
483.766,0.7037
483.765,0.7037
483.764,0.7037
483.763,0.7037
483.762,0.7037
483.761,0.7037
483.76,0.7037
483.759,0.7037
483.758,0.7037
483.757,0.7037
483.756,0.7037
483.755,0.7037
483.754,0.7037
483.753,0.7037
483.752,0.7037
483.751,0.7037
483.75,0.7037
483.749,0.7037
483.748,0.7037
483.747,0.7037
483.746,0.7037
483.745,0.7037
483.744,0.7037
483.743,0.7037
483.742,0.7037
483.741,0.7037
483.74,0.7037
483.739,0.7037
483.738,0.7037
